area_type,"area_type(1,2)",location,location (Cityno.),size(1BHK-5BHK),society,society(361000-461000),total_sqft,bathroom,balcony,price
Built-up  Area,1,Ardendale,351,3,Miwel M,433310,4824,2,2,43.25
Super built-up  Area,1,Harlur,352,1,SrEndPo,391863,1842,2,3,77
Carpet  Area,1,Sampigehalli,353,5,Puens G,398996,2607,3,3,75
Super built-up  Area,2,Akshaya Nagar,354,3,SagasSa,417622,8222,2,3,57
Super built-up  Area,1,Electronic City Phase II,355,1,SNbay G,445637,1637,1,3,28.35
Plot  Area,1,RMV,356,1,,398673,9033,3,1,365
Super built-up  Area,1,Banashankari3rd stage bigbazar,357,5,,450049,4892,3,3,125
Super built-up  Area,2,Bagalur Main Road,358,5,,434568,6905,2,0,50
Super built-up  Area,2,Kodihalli,359,1,Soianal,416674,646,5,0,335
Super built-up  Area,2,Magadi Road,360,5,Vrenty ,427459,2200,2,0,50
Super built-up  Area,1,Narayanapura,361,4,AriosHe,396827,4428,2,1,89.04
Super built-up  Area,2,MS Pallya,362,2,,424725,1525,3,1,90
Plot  Area,2,Binny Mills Employees Colony,363,1,,403896,2574,4,2,230
Built-up  Area,1,Bannerghatta Road,364,3,,404894,9301,1,3,18.5
Super built-up  Area,2,Hennur,365,5,SLureSi,370159,8325,2,1,52
Super built-up  Area,2,Chandapura,366,2,Siissi ,419976,691,1,2,11.66
Built-up  Area,2,Bellandur,367,5,,416699,6753,2,1,66
Super built-up  Area,2,5th Phase JP Nagar,368,5,Mangsr ,434594,9599,2,2,60
Built-up  Area,1,KR Puram,369,5,HovasTe,432387,796,2,3,39
Super built-up  Area,1,Balagere,370,2,Exncene,401967,5256,2,2,60
Super built-up  Area,1,Hebbal,371,4,Prersis,412740,5852,5,2,212
Built-up  Area,2,Kodigehaali,372,1,Shyas S,443503,3834,2,3,55
Super built-up  Area,1,Bannerghatta Road,373,1,NadelCi,406273,7276,2,0,65
Super built-up  Area,2,Gopalapura,374,4,Sothadr,435655,9961,3,2,275
Super built-up  Area,1,Begur Road,375,1,Dhalsh ,368590,5393,2,0,46.8
Super built-up  Area,1,Lakshminarayana Pura,376,4,Puarent,418666,1837,2,2,108
Super built-up  Area,1,Billekahalli,377,4,MaionPa,430265,2324,3,2,110
Super built-up  Area,2,8th Phase JP Nagar,378,2,Maian M,452175,1431,1,3,29.9
Super built-up  Area,1,Electronic City,379,3,ShstaAl,376150,9332,3,3,95
Super built-up  Area,2,Jalahalli,380,4,Shard T,365023,8752,3,0,77
Super built-up  Area,1,Hegde Nagar,381,3,SoitaCa,400046,9434,3,0,115
Built-up  Area,1,Mahadevpura,382,2,Neagar ,442827,3621,2,3,90
Plot  Area,2,Anekal,383,1,,403024,5018,1,2,36
Super built-up  Area,2,Begur Road,384,4,Dhalsh ,442663,4329,2,1,44
Built-up  Area,1,Kengeri,385,4,,453052,7679,2,3,25
Super built-up  Area,1,Kanakpura Road,386,2,Wiowsri,381429,6376,2,1,40
Built-up  Area,2,"Hoodi Circle, ",387,4,,378461,5389,3,0,79
Built-up  Area,2,Vijayanagar,388,2,,431582,7860,2,3,134
Super built-up  Area,1,Vijayanagar,389,5,Saityat,391713,3621,3,1,121
Built-up  Area,1,7th Phase JP Nagar,390,4,Eladero,436666,9468,2,1,94
Super built-up  Area,2,Raja Rajeshwari Nagar,391,3,Lancyey,418504,5188,2,0,45.79
Super built-up  Area,2,Sompura,392,1,Suiseit,392720,3846,2,0,33
Super built-up  Area,1,Yeshwanthpur,393,5,Aroomba,390581,7430,3,2,108
Super built-up  Area,1,Electronics City Phase 1,394,5,Courf T,396129,2267,2,0,53
Built-up  Area,1,Ashirvad Colony,395,2,VMowsea,428873,7523,2,0,58
Built-up  Area,2,Doddathoguru,396,1,S onsMa,362967,811,2,0,32
Built-up  Area,2,Dodda Nekkundi,397,3,Tuentpa,403855,6954,2,2,55
Super built-up  Area,2,K N Extension,398,3,,446241,8068,3,2,120
Built-up  Area,2,Hosur Road,399,3,Tovesee,398003,8868,2,1,120
Super built-up  Area,1,Chandapura,400,5,Vailsaf,361782,1048,3,1,45
Super built-up  Area,1,Whitefield,401,2,BrlisCo,396412,6410,3,2,161
Super built-up  Area,2,Whitefield,402,5,Haestt ,432235,2674,4,0,230
Plot  Area,1,Battarahalli,403,1,,433857,3885,2,0,65
Super built-up  Area,2,Gokula Extension,404,1,,361241,4533,4,2,175
Super built-up  Area,1,7th Phase JP Nagar,405,2,BriumMi,366482,4446,2,1,82
Plot  Area,1,Kamakshipalya,406,3,,439110,4514,2,2,165
Plot  Area,1,Bannerghatta Road,407,1,,399062,3832,2,2,125
Super built-up  Area,1,Rajaji Nagar,408,3,PhestOn,382936,6424,3,3,410
Super built-up  Area,1,Rajaji Nagar,409,2,,458605,6762,6,2,2200
Plot  Area,1,Sultan Palaya,410,1,,426890,2743,1,2,62
Super built-up  Area,1,Kengeri,411,4,,445858,5326,1,3,18.5
Super built-up  Area,2,Sanne Amanikere,412,1,Hoxiaa ,416312,7094,2,3,38
Super built-up  Area,1,Kengeri,413,3,VBvenal,434453,9625,2,2,38
Plot  Area,1,Mahalakshmi Layout,414,4,,411396,2039,7,2,250
Super built-up  Area,1,Kanakpura Road,415,5,JRrnauv,430093,5954,3,2,64.5
Built-up  Area,1,Amco Colony,416,1,Hoeatan,370707,3796,3,3,88
Super built-up  Area,1,Billekahalli,417,1,Asity S,376642,1999,2,2,62
Plot  Area,2,Nagarbhavi,418,5,,383349,1930,3,2,150
Plot  Area,1,Anandapura,419,4,,423480,8653,2,3,55
Built-up  Area,2,Bommasandra Industrial Area,420,1,,379497,4241,2,2,31.48
Plot  Area,1,TC Palaya,421,1,,429324,1692,2,2,60
Super built-up  Area,1,Budigere,422,5,PrityTr,400979,807,4,3,103
Super built-up  Area,1,Bommasandra,423,4,DSoodil,407200,1388,2,2,26.5
Super built-up  Area,2,Ambalipura,424,2,SJarkte,432264,6446,2,3,75
Built-up  Area,2,Hoodi,425,3,Dhgraas,364420,3558,2,2,67
Plot  Area,1,Chandapura,426,1,,399885,9670,5,1,85
Super built-up  Area,2,Balagere,427,5,HiqueMa,406153,5139,3,1,79
Super built-up  Area,1,CV Raman Nagar,428,2,Srshq T,375974,1025,2,0,55
Super built-up  Area,2,Samethanahalli,429,1,SPontna,369917,1778,2,2,55
Super built-up  Area,1,Marathahalli,430,2,Prionad,456190,5736,3,3,140
Built-up  Area,1,Hosur Road,431,4,PuendWe,364591,2122,2,1,69
Super built-up  Area,1,Brookefield,432,2,Danna S,408531,1734,2,3,69
Super built-up  Area,1,Yelenahalli,433,4,,428850,4640,2,1,47.12
Super built-up  Area,2,Raja Rajeshwari Nagar,434,4,GrrvaGr,424509,1472,2,0,48.1
Plot  Area,1,7th Phase JP Nagar,435,5,,396417,9430,8,3,250
Super built-up  Area,1,Richmond Town,436,5,Bltonin,440737,1988,4,1,240
Super built-up  Area,1,Suddaguntepalya,437,1,MSanaer,432316,3402,3,0,55
Super built-up  Area,2,Udayapur Village,438,3,Plowsri,449007,9910,3,3,68.29
Super built-up  Area,2,Dasanapura,439,5,Tavenew,367584,7232,1,3,40
Plot  Area,2,Kasavanhalli,440,4,,363754,5548,4,1,110
Plot  Area,2,Whitefield,441,4,,430975,3384,4,3,700
Super built-up  Area,2,Bellandur,442,2,Ocavees,457815,2187,2,3,76
Super built-up  Area,1,7th Phase JP Nagar,443,4,Brnia G,416634,9282,2,1,95
Super built-up  Area,1,Sarjapur  Road,444,1,,394475,4621,2,2,57
Super built-up  Area,1,Ardendale,445,5,SoystAm,366616,524,3,3,100
Super built-up  Area,1,Vittasandra,446,4,Prlla C,446873,6791,2,3,71
Super built-up  Area,1,Hoodi,447,5,SMaxyay,410109,8192,2,2,95
Built-up  Area,1,Electronic City,448,1,Prarkun,376929,2483,1,3,34.65
Super built-up  Area,1,Harlur,449,5,SosicCl,364893,5867,3,1,135
Super built-up  Area,1,Hulimavu,450,5,,408343,6942,3,3,78
Super built-up  Area,2,Raja Rajeshwari Nagar,451,5,GrrvaGr,397034,4256,2,0,55.47
Plot  Area,1,Giri Nagar,452,2,Bancyri,395872,9492,3,0,252
Super built-up  Area,1,Sarjapur  Road,453,2,PualeSk,399412,1069,2,3,74.03
Plot  Area,1,Thippasandra,454,5,,432262,1518,4,3,200
Super built-up  Area,1,Hormavu,455,3,ElavuHo,442345,6107,2,1,55
Built-up  Area,2,Chikkabidarakallu,456,4,Gontyol,424620,2653,4,0,325
Super built-up  Area,1,Chandapura,457,5,SunceEs,447806,1929,2,0,30.35
Super built-up  Area,2,AECS Layout,458,5,DSutyng,385497,2689,3,2,98
Super built-up  Area,2,Marathahalli,459,4,,403334,4269,2,0,46.96
Super built-up  Area,1,1 Giri Nagar,460,3,Bancyri,423779,3552,9,1,360
Super built-up  Area,1,Harlur,461,1,SrEndPo,395841,3211,3,3,120
Super built-up  Area,2,Electronic City Phase II,462,3,Sryalan,398870,8891,2,3,35.23
Super built-up  Area,1,Hoysalanagar,463,1,RKntsrt,403942,6037,2,1,30
Built-up  Area,1,Padmanabhanagar,464,1,,397986,3764,2,0,63
Built-up  Area,1,Chikkalasandra,465,3,,391051,4766,2,3,50
Super built-up  Area,1,Defence Colony,466,4,Vantspa,389625,4415,2,3,126
Super built-up  Area,2,Hebbal,467,5,Mahosya,399908,3093,2,1,130
Super built-up  Area,2,Ambalipura,468,5,,435056,7859,3,0,110
Super built-up  Area,1,Akshaya Nagar,469,1,,388954,1406,2,2,54
Plot  Area,1,2nd Stage Nagarbhavi,470,4,,437726,4672,4,0,220
Plot  Area,1,Vidyaranyapura,471,5,,452957,7421,2,3,95
Super built-up  Area,2,Amruthahalli,472,4,Prowsi ,410937,4093,2,3,40
Built-up  Area,1,ITI Employees Layout,473,4,,438801,9879,4,2,230
Super built-up  Area,1,Whitefield,474,4,SMuilan,374229,5901,2,1,42.16
Super built-up  Area,1,Koramangala,475,3,Proodt ,407682,8419,2,2,165
Super built-up  Area,2,Kodigehalli,476,5,,404718,8136,2,1,98
Built-up  Area,2,Patelappa Layout,477,3,Sryamar,414725,4880,2,0,62
Super built-up  Area,1,Ring Road Nagarbhavi,478,1,,392287,8765,4,0,235
Super built-up  Area,2,NS Palya,479,4,,396776,9379,2,1,74
Super built-up  Area,2,Subramanyapura,480,5,Prldsri,434680,7082,2,1,50.17
Built-up  Area,2,RMV 2nd Stage,481,1,LiaveEn,376485,9064,4,0,260
Plot  Area,1,Basavangudi,482,5,,415658,2817,4,1,180
Plot  Area,1,Kenchenahalli,483,4,,401644,9644,3,2,65
Plot  Area,2,3rd Block Hrbr Layout,484,4,Bemesrm,386009,2680,5,3,190
Super built-up  Area,2,KUDLU MAIN ROAD,485,4,,450292,629,3,0,56
Super built-up  Area,2,7th Phase JP Nagar,486,4,,423890,3877,4,1,400
Plot  Area,2,Bank Avenue,487,5,,431801,5429,4,3,99
Super built-up  Area,1,Chikkalasandra,488,4,,423349,8485,2,1,49
Super built-up  Area,2,Hebbal Kempapura,489,4,Vrensn ,442015,9151,2,3,60
Super built-up  Area,1,Surabhi Layout,490,3,VDdonel,391645,6425,3,1,120
Super built-up  Area,1,Old Madras Road,491,1,Brica E,370143,2185,7,0,337
Plot  Area,1,Banjara Layout,492,2,,449750,9928,3,2,58
Super built-up  Area,2,Hoodi,493,5,GoAirej,361387,2800,2,2,94.42
Built-up  Area,2,5th Phase JP Nagar,494,3,Prenty ,443546,4934,3,0,52.5
Super built-up  Area,2,Electronic City,495,5,Prarkun,364856,7607,2,0,63
Super built-up  Area,2,Omkar Nagar,496,3,Shinei ,404842,8488,2,0,53
Super built-up  Area,1,Yelahanka,497,1,Apows M,447591,3499,2,0,45
Built-up  Area,2,Kereguddadahalli,498,4,,453754,9816,2,2,32
Super built-up  Area,2,Bisuvanahalli,499,3,Prityel,440339,6672,2,0,36
Super built-up  Area,1,Whitefield,500,2,SVineun,386867,6067,2,0,48.5
Plot  Area,2,Maragondanahalli,501,4,,362025,5747,2,1,45
Super built-up  Area,1,Lingadheeranahalli,502,3,Soiewre,438696,5784,3,1,95
Built-up  Area,2,Silk Board,503,4,,385522,6368,3,3,58
Super built-up  Area,2,Hoodi,504,5,Caycend,415360,3544,3,1,68.75
Built-up  Area,2,Shampura,505,2,,366443,4540,2,2,26
Super built-up  Area,1,Vidyaranyapura,506,3,,379228,5779,2,3,38
Super built-up  Area,2,Kada Agrahara,507,1,,400356,4464,2,2,40
Super built-up  Area,2,JP Nagar,508,1,DSvvyx ,365192,9061,2,3,35
Super built-up  Area,2,Kambipura,509,2,Prrtht ,384665,2364,2,0,45
Super built-up  Area,2,Sarjapur  Road,510,2,Brareio,405906,8504,2,0,70
Plot  Area,2,BHEL Layout,511,2,,398038,4355,3,3,165
Built-up  Area,2,Medahalli,512,1,,397302,5427,1,3,41
Super built-up  Area,1,Vittasandra,513,5,Prlla C,441741,6160,2,0,67
Plot  Area,1,8th Phase JP Nagar,514,4,,449975,2095,4,1,90
Plot  Area,2,Banashankari Stage III,515,5,,432599,4254,4,0,145
Super built-up  Area,1,Kashi Nagar,516,5,,438323,2891,4,0,80
Super built-up  Area,2,Haralur Road,517,4,SNnia E,431737,3455,5,3,154
Super built-up  Area,1,Begur Road,518,5,,455382,4362,3,1,65
Plot  Area,2,Sector 7 HSR Layout,519,4,,380710,9650,5,0,275
Built-up  Area,1,Hosur Road,520,2,,409103,8988,2,3,48
Built-up  Area,1,"Yemlur, Old Airport Road, ",521,4,,366977,739,3,2,115
Super built-up  Area,2,VHBCS Layout,522,5,OlarkLa,381615,3643,2,1,110
Super built-up  Area,1,Electronic City,523,4,Prarkun,371462,995,3,3,125
Super built-up  Area,2,Whitefield,524,1,SuMTBPr,453183,4390,2,0,70
Super built-up  Area,1,Jakkur,525,2,Lecco C,392399,9556,6,0,465
Super built-up  Area,1,KR Puram,526,4,Jahidva,441103,9691,2,1,42.74
Built-up  Area,2,Ittamadu,527,5,,377521,7537,2,3,85
Super built-up  Area,1,Electronic City Phase II,528,3,,389266,1944,2,1,25
Super built-up  Area,2,Thanisandra,529,5,,401870,5392,4,2,120
Built-up  Area,2,Rajiv Nagar,530,1,PuoodSk,382812,2024,3,2,160
Super built-up  Area,1,Ramagondanahalli,531,1,ViistLa,366341,5670,2,0,47
Super built-up  Area,2,Gattahalli,532,3,Arano M,415091,2752,2,3,45.5
Super built-up  Area,1,Arekere,533,2,Amngsag,400334,5424,2,3,45
Super built-up  Area,2,Bannerghatta Road,534,4,SNity S,440339,6115,2,2,66
Super built-up  Area,2,Hebbal,535,3,Kacesh ,378749,4625,4,3,245
Super built-up  Area,2,Ramanjaneyanagar,536,5,,459351,4504,2,3,48.48
Super built-up  Area,1,HSR Layout,537,5,SrisePo,410674,6652,2,2,68
Super built-up  Area,1,Magadi Road,538,3,Bilya A,381363,9521,2,0,49
Super built-up  Area,1,Mico Layout,539,2,Amsomun,439906,4866,9,1,210
Built-up  Area,1,7th Block Jayanagar,540,1,,372875,7364,3,2,528
Super built-up  Area,2,Kanakpura Road,541,2,Shdhia ,438566,8583,2,3,39.73
Built-up  Area,1,Whitefield,542,2,,419967,1026,3,0,101
Built-up  Area,1,Byatarayanapura,543,5,Foconna,367873,9804,2,0,90
Super built-up  Area,2,Electronic City,544,3,Prarkun,416483,2205,3,2,99
Plot  Area,2,Whitefield,545,4,,458355,1589,3,3,61.95
Plot  Area,1,2nd Phase JP Nagar,546,2,,422904,4534,3,1,499
Super built-up  Area,2,Uttarahalli,547,5,,448683,2813,2,1,63
Built-up  Area,1,Kammanahalli,548,5,,406543,7239,5,0,140
Super built-up  Area,1,K G Colony,549,2,Aincy R,450960,7866,2,1,50
Super built-up  Area,1,Hennur Road,550,4,Shxorm ,429440,4358,2,1,63.77
Super built-up  Area,2,Hebbal,551,3,Brium C,396778,7524,5,2,260
Super built-up  Area,2,Munnekollal,552,3,Sadhii ,455996,4210,2,1,53.67
Super built-up  Area,2,Yelahanka,553,2,Sahanra,410840,1714,2,0,54
Super built-up  Area,1,Banashankari,554,3,,362081,2186,2,2,42
Plot  Area,1,Hosa Road,555,3,,445436,4181,6,3,145
Plot  Area,1,Herohalli,556,4,,400171,3713,1,1,80
Built-up  Area,1,Chikkabanavar,557,1,,370172,801,2,0,40
Super built-up  Area,2,Kanakpura Road,558,5,PrarePa,457680,2885,1,2,27.25
Built-up  Area,1,Attibele,559,4,Jae 2hu,450718,7006,2,1,25
Plot  Area,2,Marathahalli,560,2,,455516,6430,4,2,175
Super built-up  Area,1,3rd Block Hrbr Layout,561,3,Icncy R,386138,2638,2,2,80
Super built-up  Area,1,Bannerghatta Road,562,4,Hiatei ,412277,4709,1,0,33.32
Built-up  Area,2,Ittamadu,563,1,,400800,4405,2,3,50
Super built-up  Area,2,7th Phase JP Nagar,564,4,Puarero,404079,7688,3,1,160
Super built-up  Area,2,Bommasandra,565,4,DSoodil,449621,1142,2,3,28.15
Super built-up  Area,1,Electronics City Phase 1,566,2,GaicaVe,427578,9771,3,3,84
Plot  Area,2,HRBR Layout,567,3,,453773,3602,4,0,300
Super built-up  Area,1,Sarjapur  Road,568,4,PuineSu,369660,5515,3,1,100
Super built-up  Area,1,,569,2,Grare S,453074,3340,3,3,86
Built-up  Area,1,Ashwini layout,570,4,,401633,618,2,1,55
Built-up  Area,2,Whitefield,571,2,PrOakSi,417986,689,4,3,315
Super built-up  Area,2,Sarjapur  Road,572,2,Supleon,433648,8248,3,1,125
Super built-up  Area,2,Vittasandra,573,4,Prlla C,428709,6619,2,1,69.3
Plot  Area,2,Sarjapur  Road,574,3,LGestbo,405015,2990,4,2,225
Super built-up  Area,1,Marathalli bridge,575,2,,373079,5768,3,1,120
Super built-up  Area,1,Banashankari Stage III,576,3,Pridsi ,401180,7558,2,0,58.7
Super built-up  Area,2,Marathahalli,577,4,Aahts H,432577,6369,2,2,80
Plot  Area,1,T.C PALYA,578,3,,439753,6085,2,3,65
Super built-up  Area,1,Harlur,579,3,,401247,1363,3,0,73
Plot  Area,2,Sarjapur  Road,580,2,Asiss B,433014,5979,,3,34.185
Built-up  Area,2,Gottigere,581,3,,365987,5708,2,0,45
Built-up  Area,1,Byatarayanapura,582,5,,446730,940,1,1,36
Super built-up  Area,1,Hormavu,583,5,Kolisl ,411816,7518,1,0,46
Super built-up  Area,1,Whitefield,584,1,Toindls,386686,9550,3,0,313
Super built-up  Area,2,Dooravani Nagar,585,5,Puceswn,418225,1099,3,2,180
Super built-up  Area,2,Mysore Road,586,3,,459876,3127,2,0,48.95
Super built-up  Area,2,Jigani,587,5,i1odsne,396970,3955,2,1,40
Super built-up  Area,1,Koramangala,588,1,Ansna K,369112,7966,2,1,102
Super built-up  Area,1,JCR Layout,589,1,ARnamru,388148,9814,2,1,42
Super built-up  Area,2,Nehru Nagar,590,2,Veyalin,441207,9387,2,1,38
Built-up  Area,1,Kanakapura,591,2,,366133,3296,3,3,75
Super built-up  Area,1,Harlur,592,5,SomonCi,425280,7524,3,0,150
Plot  Area,1,Papareddipalya,593,3,,412923,6979,2,1,115
Super built-up  Area,1,Venkatapura,594,5,,435603,2309,1,0,18.5
Carpet  Area,1,Sanjay nagar,595,1,,449965,6897,2,3,98
Super built-up  Area,2,HSR Layout,596,1,,384234,787,2,0,65
Super built-up  Area,1,Sneha Colony,597,3,Daill S,440063,5178,2,3,45
Built-up  Area,1,RMV Extension,598,4,DSureSi,377538,4569,3,3,85
Super built-up  Area,1,Sarjapur  Road,599,2,Soini T,374020,3183,3,0,44.71
Super built-up  Area,2,Kalena Agrahara,600,2,MancyRe,393468,1517,2,2,85
Super built-up  Area,2,Konanakunte,601,4,Prasa W,376468,7370,3,2,223
Super built-up  Area,1,Hosapalya,602,2,,452271,2822,1,2,90
Built-up  Area,1,Ashwini layout,603,3,Kaantth,395787,6894,1,2,60
Plot  Area,1,Doddagubbi,604,5,,434118,9489,4,2,70
Super built-up  Area,1,Arekere,605,1,,433685,1975,3,1,140
Super built-up  Area,1,Malleshwaram,606,5,,380282,8850,7,1,2200
Built-up  Area,2,Gottigere,607,1,Drente ,454972,5786,2,2,25
Super built-up  Area,1,Raja Rajeshwari Nagar,608,3,GrrvaGr,377340,5953,2,2,49.07
Built-up  Area,2,Bisuvanahalli,609,1,Prityel,408573,1432,2,0,37
Super built-up  Area,2,Sector 6 HSR Layout,610,3,,428900,6177,5,3,260
Plot  Area,2,Brookefield,611,1,,435465,873,5,0,425
Built-up  Area,1,Vidyaranyapura,612,3,,433011,5125,2,1,55
Super built-up  Area,1,Thanisandra,613,2,,387195,7685,2,1,45.8
Super built-up  Area,2,Kaggadasapura,614,4,,448840,6775,2,0,40
Plot  Area,2,Margondanahalli,615,1,,452933,7549,4,0,150
Plot  Area,2,ITI Layout,616,5,,427094,3967,5,2,250
Super built-up  Area,1,Raja Rajeshwari Nagar,617,1,SGandea,372376,7031,2,3,42
Built-up  Area,1,R.T. Nagar,618,4,,459478,9497,4,0,70
Super built-up  Area,1,Whitefield,619,1,,406323,8022,4,0,360
Super built-up  Area,2,Whitefield,620,5,,367700,3113,3,3,100
Super built-up  Area,2,Hebbal,621,1,Mahosya,403960,4337,3,2,134
Built-up  Area,2,HRBR Layout,622,4,Eline P,371814,3226,2,2,95
Carpet  Area,1,Bannerghatta Road,623,1,,457330,4201,3,0,95
Super built-up  Area,2,Kanakapura,624,2,GoityEt,422555,6604,1,0,36
Super built-up  Area,1,Tumkur Road,625,5,SosonGa,418211,1985,3,2,95
Super built-up  Area,2,Whitefield,626,3,Gotis A,457754,7812,3,2,100
Super built-up  Area,1,Vasanthapura,627,1,,404399,4502,3,1,60
Built-up  Area,1,Kundalahalli,628,1,,440084,6213,2,0,49
Super built-up  Area,2,Mysore Road,629,4,PrntaEn,451232,1492,2,0,85
Carpet  Area,2,Hosahalli,630,4,NSezeBr,386182,1577,3,1,70
Plot  Area,2,Hegde Nagar,631,4,,411345,6303,1,2,56
Super built-up  Area,1,Jalahalli,632,2,Tahtsla,374951,521,3,3,160
Super built-up  Area,2,Bellandur,633,2,Sronda ,373329,4043,2,2,50
Super built-up  Area,1,Jalahalli West,634,5,Prntsax,415818,4251,1,3,25
Super built-up  Area,1,Marathahalli,635,4,PueraRi,373472,8099,4,1,250
Super built-up  Area,2,Kambipura,636,5,Prrtht ,399631,2041,2,1,29
Super built-up  Area,1,GM Palaya,637,5,Chnts A,393112,7808,2,3,86
Built-up  Area,2,Singasandra,638,3,,386387,1609,2,3,65
Super built-up  Area,2,near Ramanashree California resort,639,3,,390206,5101,4,3,160
Built-up  Area,1,Malleshwaram,640,1,GaityEt,405452,1693,5,3,325
Super built-up  Area,2,Mahadevpura,641,4,,443607,4560,2,1,48
Plot  Area,1,"6th block banashankari 3rd stage, 100 feet ORR",642,4,,383620,2109,3,0,660
Carpet  Area,1,Chikkalasandra,643,2,,410745,3719,2,2,52.8
Super built-up  Area,1,Jalahalli East,644,3,ShshaSa,408427,1867,1,2,40
Super built-up  Area,1,6th Phase JP Nagar,645,3,,419657,4777,2,1,80
Super built-up  Area,2,Haralur Road,646,2,,423807,610,2,0,47
Super built-up  Area,2,Hennur Road,647,4,,392099,7965,2,1,62
Super built-up  Area,1,Poornapragna Housing Society Layout,648,4,,452303,3302,2,2,52.2
Built-up  Area,2,Arekere,649,2,,377974,4052,9,3,265
Super built-up  Area,1,Hosakerehalli,650,4,Taonte ,427321,9436,3,3,262
Super built-up  Area,1,Sarjapur,651,3,Ahownve,378026,7963,2,1,60
Super built-up  Area,2,Hebbal,652,1,Cevely ,404976,6045,3,1,150
Built-up  Area,2,Huskur,653,2,,420993,2006,2,1,35.23
Super built-up  Area,2,Sarjapur  Road,654,2,,421577,8315,2,1,58
Super built-up  Area,2,Kanakpura Road,655,3,PrarePa,366717,7448,2,0,58
Super built-up  Area,2,Bommasandra,656,1,Vaodspe,426598,6730,3,0,46
Built-up  Area,2,Haralur Road,657,2,SNnia E,446570,7303,5,0,260
Super built-up  Area,2,Nagondanahalli,658,1,DSldsen,378550,5472,3,2,66
Super built-up  Area,2,Horamavu Agara,659,5,,394837,5512,2,3,45
Super built-up  Area,2,Raja Rajeshwari Nagar,660,4,NaonySy,363315,1860,2,3,67.39
Super built-up  Area,2,Mahadevpura,661,4,,424116,2178,3,0,78
Super built-up  Area,1,Yelahanka,662,1,Rarthne,392213,7971,2,3,48.13
Super built-up  Area,1,Yelahanka,663,3,Pyikad ,430853,2788,2,2,45.98
Built-up  Area,1,Indira Nagar,664,1,,402987,6831,4,3,200
Super built-up  Area,1,Bisuvanahalli,665,2,Prityel,386989,5885,2,0,45
Built-up  Area,2,Thanisandra,666,4,Soitya ,424281,4655,3,0,130
Super built-up  Area,2,Shanthala Nagar,667,5,Malex C,446138,9471,2,1,200
Super built-up  Area,2,Raja Rajeshwari Nagar,668,4,GrrvaGr,372366,2380,2,2,38.55
Super built-up  Area,2,Shantiniketan Layout,669,3,,371948,8118,3,0,108
Super built-up  Area,2,JP Nagar,670,5,Pehtsa ,411943,9900,,2,375
Built-up  Area,1,Herohalli,671,2,,373458,9897,2,1,70
Super built-up  Area,1,Teachers Colony,672,2,,440985,714,3,0,77
Built-up  Area,1,Bettahalsoor,673,4,Toainnt,369565,5640,4,1,445
Super built-up  Area,2,Srinivasa Nagar,674,3,,361124,9081,2,0,78.34
Built-up  Area,2,Yelahanka,675,2,Edreelm,425964,3659,3,0,130
Super built-up  Area,2,Langford Town,676,1,,390862,3939,2,2,115
Plot  Area,2,Sulthangunta,677,5,,456962,2901,1,3,50
Plot  Area,1,Hormavu,678,4,,366490,7503,7,0,150
